;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
territory_level_1;territory_level_2;territory_level_3;territory_level_4;geocode;feature_id;class;category;category_id;version;class_level_0;class_level_1;class_level_2;y1985;y1986;y1987;y1988;y1989;y1990;y1991;y1992;y1993;y1994;y1995;y1996;y1997;y1998;y1999;y2000;y2001;y2002;y2003;y2004;y2005;y2006;y2007;y2008;y2009;y2010;y2011;y2012;y2013;y2014;y2015;y2016;y2017;y2018;y2019;y2020;y2021;y2022;y2023
Ecuador;Área Ecológica De Conservación Municipal Yacuambi;;;1;1;3;ACUS;99;2-2.1;Natural;1. Natural forest;1.1. Forest formation;13656.02555;13656.02555;13667.89343;13667.89343;13652.09865;13665.39383;13704.57133;13704.57133;13701.00161;13708.40838;13705.37457;13703.679;13792.4702;13739.37318;13741.69374;13725.71867;13711.44045;13717.59769;13706.62176;13714.11866;13724.11313;13682.88514;13655.31092;13652.27696;13658.34617;13722.95509;13761.68666;13793.63407;13789.44078;13678.96279;13645.40906;13625.86493;13606.41107;13710.73132;13718.85211;13756.33297;13767.93396;13858.77678;13839.50011
Ecuador;Área Ecológica De Conservación Municipal Yacuambi;;;1;1;4;ACUS;99;2-2.1;Natural;1. Natural forest;1.2. Open forest;180.4466879;157.6887862;171.07494;169.9147784;187.9410114;427.7260691;369.986808;369.986808;361.2409622;392.9232316;199.6312331;190.7960208;102.271745;20.61435198;2.498754443;0;0;0;0;0;0.624708679;0;2.320322412;1.249412622;3.926502429;0.981628363;2.587968335;7.40681955;0.535431757;1.160159052;0.624727295;0.624727295;0.089247388;0;0;0;0;1.606317078;4.015885504
Ecuador;Área Ecológica De Conservación Municipal Yacuambi;;;1;1;9;ACUS;99;2-2.1;Antrópico;3. Farming and silviculture;3.1 Silviculture;5.979177551;5.8006953;5.979177551;5.979177551;6.068418701;6.068418701;5.88993645;5.800695276;6.157659875;6.514624377;6.514624377;6.603865527;5.889936304;8.29945304;10.53048989;11.15517916;11.15517916;11.0659394;10.97669777;14.81417569;17.22376753;23.8278549;29.45033146;30.0750313;32.57385106;34.26946279;32.75236773;33.10934256;32.39541404;32.2169278;32.30617017;31.68147123;32.12767649;34.26946779;34.44795119;34.44795136;34.53719236;35.51885331;35.25112794
Ecuador;Área Ecológica De Conservación Municipal Yacuambi;;;1;1;12;ACUS;99;2-2.1;Natural;2. Non-forest natural formation;2.2. Grassland;11327.80025;11355.556;11322.26691;11307.98753;11313.52195;11376.52802;11227.75669;11218.29661;11236.683;11250.6054;11267.74249;11263.90515;11139.58504;10997.86485;10995.99035;10899.78522;10871.67402;10823.66028;10798.85083;10856.94957;10802.33134;10851.14746;10955.46882;10992.95219;10945.74591;10832.94264;10856.77161;10925.22234;10825.7147;10847.04403;10824.55417;10807.24147;10820.71732;10884.70581;10893.09477;10877.20976;10867.48333;10788.2354;10768.2451
Ecuador;Área Ecológica De Conservación Municipal Yacuambi;;;1;1;13;ACUS;99;2-2.1;Natural;2. Non-forest natural formation;2.4. Other non-forest natural formation;3087.69945;3083.951065;3062.443759;3061.551303;3074.848244;3044.595828;3085.91553;3086.450998;3138.212832;3123.84458;3158.916115;3159.986792;3151.508154;3392.016201;3399.779579;3475.634334;3511.329926;3558.449621;3577.191337;3540.336031;3608.074391;3522.493457;3469.127938;3444.674884;3489.296152;3591.298345;3548.996096;3493.933611;3543.641373;3531.058397;3548.817719;3577.643997;3588.798863;3527.666058;3512.851908;3509.28188;3506.872506;3610.125131;3616.551225
Ecuador;Área Ecológica De Conservación Municipal Yacuambi;;;1;1;21;ACUS;99;2-2.1;Antrópico;3. Farming and silviculture;3.2 Mosaic of uses;454.3101473;453.6854103;435.9268008;436.9977332;438.8709535;207.6553498;223.7188561;224.2542911;237.5514652;232.1969087;410.6736376;415.6710802;378.19082;396.3963879;407.0164717;372.3918003;372.6598364;348.2088139;370.5185255;400.7701766;396.5759225;440.6600026;481.1741304;490.6334401;519.8142405;422.6329383;409.157621;393.005428;400.6793673;514.1021183;530.3429935;538.5521695;541.5858542;446.1010912;447.1720949;424.5055433;420.2222513;271.4635026;280.2979717
Ecuador;Área Ecológica De Conservación Municipal Yacuambi;;;1;1;25;ACUS;99;2-2.1;Antrópico;4. Non-vegetated area; 4.5. Other anthropic non-vegetated area;0.803149017;0.803149017;0.803149017;0.803149017;0.803149017;0;0;0;0;0;0;0;1.427880322;1.78484021;0;0;0;0;0;0;0;0;0;0;0;0.803151532;0.803151532;0.803151532;0.803151532;0.803151532;0.892390491;0.892390491;0.803151459;0.713912329;0.713912329;0.713912329;0.892390393;0.892390393;0.892390393
Ecuador;Área Ecológica De Conservación Municipal Yacuambi;;;1;1;29;ACUS;99;2-2.1;Natural;2. Non-forest natural formation;2.3. Rocky outcrop;581.8860129;581.4397628;625.6171044;637.0407166;614.2830282;561.9851039;666.8480818;675.2372505;605.2676404;565.8212804;536.4593731;543.9561419;678.0040749;710.7574142;708.7048345;780.5474672;786.6162788;801.8774718;791.3461783;727.3565679;701.5644725;702.3656588;662.3850716;643.5540974;612.3171105;649.4434687;639.3584798;608.0335728;653.9953748;642.3042614;661.5811682;663.7228731;664.615279;650.425374;650.068385;651.050368;641.1441881;648.9978911;653.8174872
Ecuador;Área Ecológica De Conservación Municipal Yacuambi;;;1;1;30;ACUS;99;2-2.1;Antrópico;4. Non-vegetated area;4.3. Mining;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.892419458;5.175854352;19.54322026;41.49570424;51.13359035
